id,name,city,state,best_route,email,contact_form,facebook,instagram,phone,website,hours_verified,lounge,already_written_to
10328,5th Avenue Cigars,Anchorage,AK,email,general@avenuecigars.com,,,,(907) 274-7473,avenuecigars.com,yes,,
10272,Lucky Raven Tobacco,Soldotna,AK,email,luckyraventobacco@gmail.com,,,,(907) 260-6280,luckyraven.com,yes,,
13917,Studio 16 Cigar Lounge,Athens,AL,email,studio16cl@gmail.com,,,,(256) 444-0566,studio16cigars.com,yes,yes,
7582,The Black Leaf Cigar Company,Birmingham,AL,email,info@blackleafcigars.com,,,,(205) 777-4500,blackleafcigars.com,yes,,
7632,The Cigar Shop,Gardendale,AL,phone,,,,,(205) 285-9568,thecigarshopgdale.com,yes,yes,
6666,The 19th Hole Cigar & Golf Lounge,Greenville,AL,contact form,,https://the19thholecigarlounge.com/contact,,,(334) 662-0738,the19thholecigarlounge.com,yes,yes,
7652,The Cigar Room Guntersville,Guntersville,AL,email,don@cigarroom.net,,,,(256) 486-3011,cigarroom.net,yes,yes,
7628,Cigars & More,Hoover,AL,email,harris@birminghamcigars.com,https://www.vitolafinecigars.com/contact-us/,https://www.facebook.com/CigarsAndMore,https://www.instagram.com/birminghamcigars/,(205) 982-3198,BirminghamCigars.com,yes,,
14182,Blaque Cigar Lounge,Huntsville,AL,email,info@blaquecigarlounge.com,,,,(256) 604-6714,blaquecigarlounge.com,yes,yes,
14082,SiP Fine Spirits & Cigar Lounge,Huntsville,AL,email,kelly@siphuntsville.com,,,,(256) 858-1244,siploungehuntsville.com,yes,yes,
7485,23 Court Cigar Bar,Montgomery,AL,contact form,,https://www.23court.com/contact,https://www.facebook.com/23Court/,https://www.instagram.com/23courtmgm/?hl=en,(334) 356-0121,23court.com,yes,yes,
7342,Sanctuary Cigars,Montgomery,AL,email,sanctuarycigars@gmail.com,,,,(334) 593-8552,sanctuarycigars.com,yes,,
7524,Cutters Cigars,Northport,AL,email,cutterscigarsttown@gmail.com,,,,(205) 409-8495,cutterscigarsttown.com,yes,yes,
7384,F & M Cigars,Phenix City,AL,email,fmcigarspc@gmail.com,,,,(334) 297-0059,fandmcigars.com,yes,yes,
6556,El Jefe House of Cigars,Prichard,AL,email,info@eljefehouseofcigars.org,,,,(251) 289-1630,eljefehouseofcigars.com,yes,yes,
7538,Vitola Fine Cigars Tuscaloosa,Tuscaloosa,AL,email,harris@birminghamcigars.com,https://www.vitolafinecigars.com/contact-us/,https://www.facebook.com/CigarsAndMore,https://www.instagram.com/birminghamcigars/,(205) 331-4313,VitolaFineCigars.com/Tuscaloosa,yes,,
11869,The Cigar District,Bentonville,AR,email,info@thecigardistrict.com,,,,(479) 273-7473,thecigardistrict.com,yes,,
11876,White River Tobacco Co.,Eureka Springs,AR,phone,,,,,(479) 253-5350,whiterivertobaccoco.com,yes,,
12038,Cigar Republic,Little Rock,AR,email,info@cigarrepublic.com,,,,(501) 615-8040,cigarrepublic.com,yes,yes,
11755,Flytimer Continental Cigar Lounge,Rogers,AR,email,cwhitesjewelry@gmail.com,,,,(479) 222-0649,flytimerclub.com,yes,yes,
4616,The Yard Cigar Bar,Chandler,AZ,email,theyardcigarbar@gmail.com,https://www.theyardcigarbar.com/contact.html,https://facebook.com/theyardcigarbar,https://instagram.com/theyardcigarbar,(480) 855-7233,theyardcigarbar.com,yes,yes,
4330,Fine Ash Cigars Bar & Lounge,Glendale,AZ,email,sales@fineashcigars.com,https://fineashcigars.com/contact/,https://www.facebook.com/fineashcigars,https://www.instagram.com/fineashcigars/,(623) 900-4752,fineashcigars.com,yes,yes,
9227,Lake Havasu Cigars,Lake Havasu City,AZ,contact form,,http://www.lakehavasucigars.com/contact.cfm,https://www.facebook.com/jscigarbarlakehavasu,https://www.instagram.com/lake.havasu.cigars,(928) 680-2655,lakehavasucigars.com,yes,,
4576,RJ'S Cigars,Mesa,AZ,phone,,,,,(480) 597-5198,rjscigars.com,yes,yes,
4983,Ambassador Fine Cigars,Peoria,AZ,contact form,,https://ambassadorcigars.com/contact/,,https://www.instagram.com/ambassadorfinecigars/,(623) 486-0688,ambassadorcigars.com,yes,,
4491,Ambassador Fine Cigars,Phoenix,AZ,contact form,,https://ambassadorcigars.com/contact/,,https://www.instagram.com/ambassadorfinecigars/,(480) 905-1000,ambassadorcigars.com,yes,,
4553,Anthony's Cigar Emporium,Phoenix,AZ,contact form,,https://anthonyscigars.com/pages/contact,https://www.facebook.com/Anthonyscigaremporiumriver/,https://www.instagram.com/cigarace/,(602) 265-1165,anthonyscigars.com,yes,yes,
4587,Churchill's Fine Cigars,Phoenix,AZ,contact form,,https://churchillsaz.com/contact#main-content,https://www.facebook.com/churchillsaz,https://www.instagram.com/churchillsaz,(602) 840-9080,churchillsaz.com,yes,yes,
4965,Fumar Cigars,Phoenix,AZ,email,david@fumarcigarsinc.com,https://fumarcigarsusa.com/contact/,https://www.facebook.com/FumarCigars/,https://www.instagram.com/fumarcigars/,(623) 594-4020,fumarcigarsusa.com,yes,yes,
4953,Torch Cigar Bar,Phoenix,AZ,email,shop@torchcigarbar.com,,,,(800) 641-8672,torchcigarbar.com,yes,yes,
4481,Hiland's Cigars,Scottsdale,AZ,email,hilandsales@hilandscigars.com,https://www.hilandscigars.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.7,https://www.facebook.com/hilandscigars/,https://www.instagram.com/hilands_cigars/,(480) 945-7050,hilandscigars.com,yes,,
5052,Scottsdale Cigars,Scottsdale,AZ,email,scottsdalecigarco@yahoo.com,,,,(480) 991-2722,scottsdalecigars.com,yes,,
2063,Anthony's Cigar Emporium,Tucson,AZ,contact form,,https://anthonyscigars.com/pages/contact,https://www.facebook.com/Anthonyscigaremporiumriver/,https://www.instagram.com/cigarace/,(520) 324-0303,anthonyscigars.com,yes,,
2134,Anthony's Cigar Emporium,Tucson,AZ,contact form,,https://anthonyscigars.com/pages/contact,https://www.facebook.com/Anthonyscigaremporiumriver/,https://www.instagram.com/cigarace/,(520) 398-6216,anthonyscigars.com,yes,,
2076,Anthony's Cigar Emporium,Tucson,AZ,contact form,,https://anthonyscigars.com/pages/contact,https://www.facebook.com/Anthonyscigaremporiumriver/,https://www.instagram.com/cigarace/,(520) 529-7184,anthonyscigars.com,yes,,
5054,Frontier Tobacco,Wickenburg,AZ,email,server@frontiertobacco.store,,https://www.facebook.com/groups/805946327080928,,(928) 684-6858,frontiertobacco.store,yes,,
2558,Sun of a Gun Cigars,Yuma,AZ,email,sales@sunofaguncigars.com,,,,(928) 276-3500,sunofaguncigars.com,yes,yes,
4219,Hemingway Cigars,Arcadia,CA,phone,,,,,(626) 623-7047,hemingwaycigarsarcadia.com,yes,yes,
8654,Campbell Cigars,Campbell,CA,contact form,,https://campbellcigarclub.com/contact/,https://www.facebook.com/CampbellCigarClub/?ref=settings,,(408) 377-0777,campbellcigarclub.com,yes,,
9412,Casillas Cigars,Citrus Heights,CA,email,contact@casillascigars.com,,,,(916) 961-1999,casillascigars.com,yes,,
2160,Crown City Cigars and Fine Tobacco,Coronado,CA,email,crowncitycigars@gmail.com,,,,(619) 675-0120,crowncitycigars.com,yes,,
3587,Orange County Cigars Lounge,Costa Mesa,CA,email,occigars@mail.com,,,,(949) 678-2310,orangecountycigar.com,yes,yes,
9535,CJ's Cigars,El Dorado Hills,CA,email,cj@cjscigars.com,,,,(916) 358-5674,cjscigars.com,yes,,
9481,Cigar City Lounge,Folsom,CA,email,cigarcityfolsom@gmail.com,,,,(916) 790-8500,cigarcitylounge.com,yes,yes,
9189,Aldo Cigars,Fresno,CA,email,support@aldocigars.com,,,,(559) 222-5252,aldocigars.com,yes,,
9188,Cigars Limited,Fresno,CA,facebook,,,http://facebook.com/cigarslimited,http://instagram.com/cigarslimited,(559) 221-0161,fresnocigar.com,yes,,
9142,Perfect Blend Fine Cigars,Fresno,CA,contact form,,https://www.perfectblendfinecigars.com/contact,,https://www.instagram.com/explore/locations/10061938/perfect-blend-fine-cigars/,(559) 486-0400,perfectblendfinecigars.com,yes,yes,
4825,Havana Cigar Lounge,Hesperia,CA,email,havanacigarclub12@gmail.com,,,,(760) 961-6880,havanacigarandwine.com,yes,yes,
3392,Drobe Stogies,Inglewood,CA,email,members@drobestogies.com,,,,(424) 227-9005,drobestogies.com,yes,yes,
4733,CigarSpots,Lake Forest,CA,contact form,,https://cigarspots.com/contact-us/,https://www.facebook.com/CigarSpots,https://www.instagram.com/cigarspots_com/,(949) 570-5448,cigarspots.com/lake-forest-spot,yes,,
4787,Lordsburg Cigar Lounge,La Verne,CA,contact form,,http://www.lordsburgcigars.com/contact,https://www.facebook.com/lordsburgcigars,http://instagram.com/lordsburgcigars,(909) 392-2122,lordsburgcigars.com,yes,yes,
9329,Stogies Lounge,Lodi,CA,email,stogies@stogieslounge.com,,,,(209) 334-5764,stogieslounge.com,yes,yes,
3643,Taylor's Cigar Lounge,Long Beach,CA,email,info@taylorslbc.com,,,,(562) 377-0700,taylorscigarlounge.com,yes,yes,
9558,Tobacco Republic,Loomis,CA,email,trcigar@aol.com,,,,(916) 652-2010,trcigar.com,yes,yes,
3399,Brazil Smoke & Cigar Shop,Los Angeles,CA,facebook,,,https://www.facebook.com/Brazil-Smoke-Vape-Shop-237946549908615/,https://www.instagram.com/brazilsmokevape/?hl=en,(310) 253-5002,brazilsmokeshop.com,yes,,
3506,The King Cigar Lounge,Los Angeles,CA,email,thekingcigarlounge@gmail.com,,,,(213) 205-8222,thekingcigarlounge.com,yes,yes,
4751,Ron'devu Cigar Lounge,Menifee,CA,email,rondevucigars@gmail.com,,,,(951) 723-8406,rondevucigarlounge.com,yes,yes,
8691,Telford's Pipe and Cigar,Mill Valley,CA,facebook,,,http://www.facebook.com/telfordspipeandcigar,,(415) 388-0440,telfordspipeandcigar.com,yes,yes,
4944,Casa De La Riva Cigar Lounge,Ontario,CA,email,julian@casadelariva.com,,,,(909) 206-2367,casadelariva.com,yes,yes,
